nom,statut,chapeau,pores,lames,pied,chair,odeur,saveur,habitat,saison,a_un_chapeau,a_des_pores,a_des_lames,a_un_pied,a_de_la_chair,chapeau_couleur_blanc,chapeau_couleur_brun,chapeau_couleur_jaune,chapeau_couleur_rouge,chapeau_couleur_orange,chapeau_couleur_rose,chapeau_couleur_gris,chapeau_couleur_noir,chapeau_couleur_vert,chapeau_couleur_bleu,chapeau_couleur_violet,chapeau_couleur_ocre,chapeau_couleur_roux,chapeau_texture_lisse,chapeau_texture_meches,chapeau_texture_floconneux,chapeau_texture_visqueux,chapeau_texture_velours,chapeau_texture_ecailleux,chapeau_texture_craquele,chapeau_texture_strie,pores_couleur_blanc,pores_couleur_brun,pores_couleur_jaune,pores_couleur_rouge,pores_couleur_orange,pores_couleur_rose,pores_couleur_gris,pores_couleur_noir,pores_couleur_vert,pores_couleur_bleu,pores_couleur_violet,pores_couleur_ocre,pores_couleur_roux,pores_attache_libres,pores_attache_adnees,pores_attache_decurrentes,pores_attache_echancrees,pores_attache_serrees,pores_attache_espacees,lames_couleur_blanc,lames_couleur_brun,lames_couleur_jaune,lames_couleur_rouge,lames_couleur_orange,lames_couleur_rose,lames_couleur_gris,lames_couleur_noir,lames_couleur_vert,lames_couleur_bleu,lames_couleur_violet,lames_couleur_ocre,lames_couleur_roux,lames_attache_libres,lames_attache_adnees,lames_attache_decurrentes,lames_attache_echancrees,lames_attache_serrees,lames_attache_espacees,pied_couleur_blanc,pied_couleur_brun,pied_couleur_jaune,pied_couleur_rouge,pied_couleur_orange,pied_couleur_rose,pied_couleur_gris,pied_couleur_noir,pied_couleur_vert,pied_couleur_bleu,pied_couleur_violet,pied_couleur_ocre,pied_couleur_roux,pied_texture_lisse,pied_texture_meches,pied_texture_floconneux,pied_texture_visqueux,pied_texture_velours,pied_texture_ecailleux,pied_texture_craquele,pied_texture_strie,pied_morpho_anneau,pied_morpho_volve,pied_morpho_bulbe,pied_morpho_massue,pied_morpho_creux,pied_morpho_elance,pied_morpho_cylindrique,pied_morpho_reseau,chair_couleur_blanc,chair_couleur_brun,chair_couleur_jaune,chair_couleur_rouge,chair_couleur_orange,chair_couleur_rose,chair_couleur_gris,chair_couleur_noir,chair_couleur_vert,chair_couleur_bleu,chair_couleur_violet,chair_couleur_ocre,chair_couleur_roux,chair_consistance_ferme,chair_consistance_tendre,chair_consistance_molle,chair_consistance_cassante,chair_consistance_elastique,chair_consistance_epaisse,chair_consistance_fibreuse,chair_consistance_spongieuse,odeur_type_anise,odeur_type_phenol,odeur_type_iode,odeur_type_radis,odeur_type_farine,odeur_type_amande,odeur_type_terre,odeur_type_fruitee,odeur_type_desagreable,saveur_type_douce,saveur_type_amere,saveur_type_acide,saveur_type_piquante,saveur_type_poivree,saveur_type_iodee,saveur_type_desagreable,saveur_type_sans_saveur,chapeau_taille_min_cm,chapeau_taille_max_cm,pied_taille_min_cm,pied_taille_max_cm,saison_mois_01,saison_mois_02,saison_mois_03,saison_mois_04,saison_mois_05,saison_mois_06,saison_mois_07,saison_mois_08,saison_mois_09,saison_mois_10,saison_mois_11,saison_mois_12,habitat_type_feuillus,habitat_type_coniferes,habitat_type_foret,habitat_type_prairies,habitat_type_clairieres,habitat_type_lisieres,habitat_type_jardins,habitat_type_bois,habitat_type_chenes,habitat_type_hetres,habitat_type_pins,habitat_type_bouleaux,habitat_type_chataigniers,habitat_type_charmes,habitat_type_melezes,habitat_type_bois_morts
AMANITE PHALLOÏDE,Les champignons mortel,"3 à 15 cm, de couleur très variable, vert olive, jaune verdâtre, brun-vert, parfois blanc, marqué de fines rayures radiales grisâtres.",,"Libres, blanches","6 à 20 cm, élancé, blanc ou chiné de verdâtre. Anneau blanc en jupe. Large volve blanche en sac.",Blanche,"Faible, de rose",Douce,"Forêts de feuillus et conifères, surtout les chênes, les châtaigniers et les charmes",Juillet > Novembre,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,15.0,6.0,20.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
AMANITE PRINTANIÈRE,Les champignons mortel,"3 à 15 cm, de couleur très variable, vert olive, jaune verdâtre, brun-vert, parfois blanc, marqué de fines rayures radiales grisâtres.",,"Libres, blanches","6 à 20 cm, élancé, blanc ou chiné de verdâtre. Anneau blanc en jupe. Large volve blanche en sac.",Blanche,"Faible, de rose",Douce,Forêts de feuillus,Mai > Septembre,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,15.0,6.0,20.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMANITE ROUGISSANTE,Les bons champignons,"4 à 14 cm, crème rosâtre à brun terne ou ocre brun, taché de brun rougeâtre aux blessures, couvert de plaques grisâtres",,"Libres, blanches puis tachées de brun rougeâtre","5 à 15 cm, blanchâtre puis taché de brun rouge surtout à la base. Anneau ample blanc. Bulbe en oignon, sans volve","Tendre, blanche, se tachant de rosâtre.",Faible,Douce,Forêts de feuillus et de conifères,Juin > Novembre,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,14.0,5.0,15.0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMANITE TUE-MOUCHES,Les champignons toxiques,"4 à 20 cm, rouge vif à orangé, parsemé de flocons blancs qui peuvent disparaître après une pluie.",,"Libres, blanches","3 à 20 cm, blanc. Anneau bien formé parfois crénelé. Bulbe avec bourrelets ou écailles au sommet.",Blanche,Faible,Douce,Forêts de feuillus et de conifères,Septembre > Novembre,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,20.0,3.0,20.0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMANITE VAGINÉE,Les champignons mediocres,"3 à 10 cm, gris, gris-brun à blanc grisâtre, souvent mamelonné, bord nettement strié",,"Libres, blanches","8 à 12 cm, élancé, creux, blanc ou chiné de gris. Volve bien formée blanche ou grise","Blanche, tendre",faible,Douce,Forêts de feuillus et de conifères,Juin > Septembre,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,10.0,8.0,12.0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMANITE VIREUSE,Les champignons mortel,"De forme irrégulière, 3 à 12 cm, lisse, blanc à ivoire, ochracé au centre avec l’âge.",,"Libres, blanches","Élancé (5 à 15 cm), blanc, pelucheux. Anneau blanc fragile. Volve en sac bien formée, souvent avec des teintes rosées.",Blanche,"Faible, de rose fanée",Douce,Forêts de feuillus et de conifères,Juin > Octobre,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,12.0,5.0,15.0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMILLAIRE COULEUR DE MIEL,Champignon à rejeter,"3 à 15 cm, jaune à ocre, voire miel, plus foncé au centre, parsemé de fines mèches brunes",,"Un peu décurrentes, crème à jaunâtres, se tachant de brun.","5 à 20 cm, beige jaunâtre à ocre brun, avec un anneau ample blanc ou jaune.",Blanche,"Faible, peu agréable",Douce,"Sur le bois de feuillus morts ou vivants, en touffes",Septembre> Novembre,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,15.0,5.0,20.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BOLET À BEAU PIED,Champignon à rejeter,"5 à 20 cm, sec, très pâle, blanchâtre à crème grisâtre puis café au lait","Jaune vif puis jaune olive, bleuissants au toucher.",,"4 à 15 cm, épais, rouge vif vers la base, jaune au sommet, avec un réseau plus clair en relief","Blanche dans le chapeau, jaune dans le pied, rougeâtre vers la base, un peu bleuissante","Faible, acidulée, de vinaigre",Amère,Forêts de feuillus et de conifères,Septembre > Novembre,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,20.0,4.0,15.0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET À CHAIR JAUNE,Champignon à rejeter,"3 à 12 cm, mat, lisse puis finement craquelé, de couleur variable, beige à brun terne, brun rougeâtre à brun olivâtre","Polygonaux, jaunes à vert olive, bleuissant au toucher",,"3 à 7 cm, assez mince, rougeâtre à vineux, jaune au sommet","Jaunâtre, rougeâtre sous la peau du chapeau, faiblement bleuissante",Faible,Douce,Forêts de feuillus et de conifères,Juin > Novembre,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,12.0,3.0,7.0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET À PIED CREUX,Les champignons mediocres,"2 à 15 cm, feutré à pelucheux, brun canelle à brun-roux, mamelonné.","Décurrents, jaunes puis olivâtres, assez larges et anguleux.",,"3 à 9 cm, creux, fragile, même couleur que le chapeau, avec un anneau blanc.",Crème,Faible,Douce,"Uniquement sous mélèzes, en montagne",Juillet > Novembre,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,15.0,3.0,9.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
